Time,Source,Target,Amount,Location,Type,Labels
7323,S14007,T1000,64.38,L100,TP100,2
7324,S13468,T1008,59.98,L100,TP105,2
7325,S11166,T1008,9.98,L100,TP105,2
7326,S14008,T1003,149.21,L100,TP100,2
7327,S11203,T1008,9.92,L100,TP105,2
7328,S13468,T1008,59.99,L100,TP105,2
7329,S14009,T1003,160.02,L100,TP100,2
7330,S14010,T1000,5.59,L100,TP100,2
7331,S10867,T1008,9.91,L100,TP105,2
7332,S14011,T1000,50.73,L100,TP100,2
7333,S10867,T1008,59.94,L100,TP105,2
7334,S11166,T1008,9.92,L100,TP105,2
7335,S10867,T1008,59.98,L100,TP105,2
7336,S14012,T1008,29.2,L100,TP105,1
7337,S14012,T1008,29.27,L100,TP105,0
7338,S14012,T1008,29.33,L100,TP105,0
7339,S14012,T1008,29.3,L100,TP105,1
7340,S14013,T1000,219.66,L100,TP100,2
7341,S14012,T1008,29.37,L100,TP105,0
7342,S10867,T1008,9.96,L100,TP105,2
7343,S10098,T1008,9.96,L100,TP105,2
7344,S11166,T1008,9.9,L100,TP105,2
7345,S11166,T1008,9.94,L100,TP105,2
7346,S10867,T1008,59.98,L100,TP105,2
7347,S14014,T1003,82.32,L100,TP100,2
7348,S14009,T1003,140.0,L100,TP100,2
7349,S10867,T1008,9.95,L100,TP105,2
7350,S11166,T1008,9.97,L100,TP105,2
7351,S14015,T1002,59.0,L100,TP102,2
7352,S10867,T1008,0.0,L100,TP105,2
7353,S13719,T1000,86.22,L100,TP100,2
7354,S14016,T1023,4.0,L100,TP120,2
7355,S14017,T1037,2.0,L100,TP126,2
7356,S14018,T1000,79.91,L100,TP100,2
7357,S11166,T1008,9.96,L100,TP105,2
7358,S14019,T1136,420.0,L106,TP111,2
7359,S14020,T1182,254.0,L106,TP139,2
7360,S14021,T1037,1076.0,L100,TP126,2
7361,S14022,T1037,1270.0,L100,TP126,2
7362,S11166,T1008,9.95,L100,TP105,2
7363,S14023,T1182,70.0,L106,TP139,2
7364,S10867,T1008,9.93,L100,TP105,2
7365,S11166,T1008,9.99,L100,TP105,2
7366,S14024,T1182,60.88,L106,TP139,2
7367,S14025,T1000,26.1,L100,TP100,2
7368,S11226,T1008,15.96,L100,TP105,2
7369,S13225,T1029,218.72,L110,TP102,2
7370,S14026,T1016,1600.0,L106,TP111,2
7371,S10867,T1008,59.98,L100,TP105,2
7372,S14027,T1023,5.0,L100,TP120,0
7373,S10098,T1008,23.95,L100,TP105,2
7374,S14027,T1023,7.9,L100,TP120,0
7375,S14027,T1023,7.9,L100,TP120,1
7376,S14028,T1000,445.98,L100,TP100,1
7377,S14028,T1000,290.43,L100,TP100,0
7378,S14027,T1023,2.88,L100,TP120,1
7379,S14027,T1023,2.88,L100,TP120,0
7380,S11166,T1008,9.97,L100,TP105,2
7381,S10098,T1008,23.9,L100,TP105,2
7382,S10084,T1008,9.91,L100,TP105,2
7383,S14029,T1023,1.0,L100,TP120,0
7384,S11203,T1008,59.97,L100,TP105,2
7385,S14029,T1023,15.83,L100,TP120,1
7386,S14029,T1023,15.8,L100,TP120,0
7387,S11166,T1008,9.94,L100,TP105,2
7388,S14030,T1030,42.64,L100,TP103,2
7389,S14029,T1023,15.94,L100,TP120,1
7390,S14029,T1023,15.99,L100,TP120,0
7391,S11166,T1008,9.94,L100,TP105,2
7392,S14031,T1074,5.0,L110,TP137,2
7393,S10867,T1008,59.98,L100,TP105,2
7394,S11166,T1008,9.99,L100,TP105,2
7395,S11166,T1008,9.92,L100,TP105,2
7396,S11226,T1008,15.93,L100,TP105,2
7397,S10122,T1000,154.97,L100,TP100,2
7398,S11166,T1008,9.92,L100,TP105,2
7399,S11166,T1008,9.91,L100,TP105,2
7400,S14032,T1023,4.0,L100,TP120,0
7401,S14032,T1023,8.58,L100,TP120,0
7402,S14032,T1023,8.58,L100,TP120,1
7403,S14032,T1023,8.58,L100,TP120,0
7404,S14032,T1023,8.53,L100,TP120,1
7405,S14033,T1002,68.5,L100,TP102,2
7406,S14032,T1023,2.0,L100,TP120,1
7407,S14032,T1023,9.0,L100,TP120,0
7408,S14032,T1023,2.36,L100,TP120,0
7409,S14032,T1023,2.3,L100,TP120,1
7410,S14034,T1000,147.86,L100,TP100,2
7411,S14035,T1037,8.0,L100,TP126,2
7412,S10025,T1007,110.0,L100,TP102,0
7413,S10025,T1007,150.0,L100,TP102,0
7414,S14036,T1000,104.57,L100,TP100,2
7415,S14037,T1075,69.97,L102,TP134,2
7416,S14038,T1037,1.0,L100,TP126,2
7417,S14039,T1086,8.0,L102,TP141,2
7418,S11677,T1000,32.85,L100,TP100,2
7419,S14040,T1003,98.93,L100,TP100,0
7420,S14040,T1003,98.9,L100,TP100,0
7421,S10979,T1000,43.99,L100,TP100,2
7422,S13132,T1066,41.0,L110,TP116,2
7423,S10415,T1000,19.68,L100,TP100,2
7424,S14041,T1000,60.0,L100,TP100,2
7425,S14042,T1008,9.6,L100,TP105,2
7426,S10867,T1008,10.0,L100,TP105,2
7427,S11677,T1000,260.83,L100,TP100,2
7428,S10122,T1000,260.8,L100,TP100,2
7429,S10867,T1008,59.95,L100,TP105,2
7430,S13684,T1038,20.03,L102,TP125,0
7431,S13684,T1038,20.02,L102,TP125,0
7432,S14043,T1000,11.56,L100,TP100,2
7433,S14044,T1035,14.97,L111,TP117,2
7434,S10657,T1013,11.87,L102,TP108,2
7435,S10867,T1008,59.97,L100,TP105,2
7436,S14045,T1000,189.62,L100,TP100,2
7437,S13684,T1038,1.39,L102,TP125,0
7438,S13684,T1038,1.3,L102,TP125,0
7439,S13953,T1038,1.89,L102,TP125,2
7440,S13686,T1000,13.71,L100,TP100,2
7441,S10867,T1008,59.92,L100,TP105,2
7442,S14046,T1000,51.43,L100,TP100,2
7443,S14047,T1000,127.54,L100,TP100,2
7444,S14048,T1110,72.5,L110,TP126,2
7445,S14049,T1000,23.46,L100,TP100,2
7446,S13956,T1000,29.98,L100,TP100,0
7447,S14050,T1088,9.75,L100,TP125,2
7448,S13956,T1000,19.91,L100,TP100,0
7449,S13956,T1000,19.93,L100,TP100,0
7450,S12110,T1098,4752.7,L110,TP137,0
7451,S14051,T1130,226.2,L106,TP102,2
7452,S14052,T1000,188.69,L100,TP100,0
7453,S14053,T1313,117.6,L185,TP172,0
7454,S14053,T1313,117.3,L185,TP172,1
7455,S14053,T1313,163.46,L185,TP172,0
7456,S14054,T1314,63.93,L100,TP100,0
7457,S14055,T1212,49.8,L110,TP110,2
7458,S14054,T1314,71.3,L100,TP100,0
7459,S14054,T1314,101.2,L100,TP100,0
7460,S14056,T1000,20.39,L100,TP100,2
7461,S14057,T1000,12.77,L100,TP100,2
7462,S11402,T1003,58.88,L100,TP100,0
7463,S14058,T1013,10.47,L102,TP108,2
7464,S12332,T1077,48.5,L100,TP108,0
7465,S14059,T1037,260.0,L100,TP126,2
7466,S14060,T1025,9.0,L102,TP153,2
7467,S13234,T1008,9.91,L100,TP105,2
7468,S13211,T1008,24.9,L100,TP105,2
7469,S11166,T1008,9.9,L100,TP105,2
7470,S10891,T1008,23.92,L100,TP105,2
7471,S11166,T1008,9.91,L100,TP105,2
7472,S11166,T1008,9.95,L100,TP105,2
7473,S13211,T1008,24.94,L100,TP105,2
7474,S11166,T1008,9.94,L100,TP105,2
7475,S10489,T1008,9.97,L100,TP105,2
7476,S14061,T1003,144.61,L100,TP100,2
7477,S11166,T1008,9.96,L100,TP105,2
7478,S11166,T1008,9.91,L100,TP105,2
7479,S14062,T1003,20.82,L100,TP100,2
7480,S11166,T1008,9.92,L100,TP105,2
7481,S13684,T1038,33.06,L102,TP125,0
7482,S13057,T1008,9.92,L100,TP105,2
7483,S10082,T1008,19.98,L100,TP105,2
7484,S11166,T1008,9.91,L100,TP105,2
7485,S13684,T1038,2.41,L102,TP125,0
7486,S11677,T1000,12.83,L100,TP100,2
7487,S14063,T1013,9.57,L102,TP108,2
7488,S11203,T1008,9.99,L100,TP105,2
7489,S14064,T1023,12.35,L100,TP120,2
7490,S14065,T1004,292.76,L102,TP135,2
7491,S11166,T1008,9.96,L100,TP105,2
7492,S11516,T1013,11.47,L102,TP108,2
7493,S14066,T1013,18.42,L102,TP108,2
7494,S11167,T1004,18.0,L102,TP114,2
7495,S12422,T1003,42.49,L100,TP100,2
7496,S10233,T1008,11.9,L100,TP105,2
7497,S12299,T1038,30.78,L102,TP125,2
7498,S13001,T1008,9.92,L100,TP105,2
7499,S14067,T1000,79.95,L100,TP100,2
7500,S10182,T1013,10.77,L102,TP108,0
7501,S14068,T1004,12.81,L102,TP154,2
7502,S12299,T1038,3.1,L102,TP125,2
7503,S10082,T1008,9.99,L100,TP105,2
7504,S13468,T1008,29.98,L100,TP105,2
7505,S11166,T1008,9.9,L100,TP105,2
7506,S14069,T1037,1072.0,L100,TP126,2
7507,S11489,T1141,2.6,L100,TP130,0
7508,S11489,T1141,1.0,L100,TP130,0
7509,S10489,T1008,23.99,L100,TP105,2
7510,S14070,T1004,59.98,L102,TP114,2
7511,S14071,T1004,28.4,L102,TP114,2
7512,S11166,T1008,9.92,L100,TP105,2
7513,S13830,T1004,1.91,L102,TP114,2
7514,S11166,T1008,9.97,L100,TP105,2
7515,S14072,T1004,68.61,L102,TP177,2
7516,S14073,T1003,119.94,L100,TP100,2
7517,S10040,T1000,28.85,L100,TP100,2
7518,S14074,T1000,27.7,L100,TP100,2
7519,S11166,T1008,9.92,L100,TP105,2
7520,S13605,T1008,20.0,L100,TP105,2
7521,S13057,T1008,9.92,L100,TP105,2
7522,S13468,T1008,29.99,L100,TP105,2
7523,S14075,T1003,14.91,L100,TP100,2
7524,S10233,T1008,9.95,L100,TP105,2
7525,S14076,T1004,13.8,L102,TP109,2
7526,S10489,T1008,23.94,L100,TP105,2
7527,S11757,T1038,2.22,L102,TP125,2
7528,S11677,T1000,12.82,L100,TP100,2
7529,S11166,T1008,9.92,L100,TP105,2
7530,S13186,T1008,70.0,L100,TP105,2
7531,S11166,T1008,9.9,L100,TP105,2
7532,S11166,T1008,9.95,L100,TP105,2
7533,S14077,T1061,509.7,L100,TP116,2
7534,S12643,T1000,51.45,L115,TP100,2
7535,S14078,T1075,25.36,L102,TP134,2
7536,S11166,T1008,9.96,L100,TP105,2
7537,S10039,T1008,9.95,L100,TP105,2
7538,S11166,T1008,9.94,L100,TP105,2
7539,S13766,T1210,32.72,L100,TP178,2
7540,S11166,T1008,9.91,L100,TP105,2
7541,S11166,T1008,9.95,L100,TP105,2
7542,S10233,T1008,11.96,L100,TP105,2
7543,S11489,T1141,2.7,L100,TP130,0
7544,S11489,T1141,1.38,L100,TP130,0
7545,S14079,T1000,27.0,L100,TP100,2
7546,S11166,T1008,9.97,L100,TP105,2
7547,S11677,T1003,269.9,L100,TP100,2
7548,S10122,T1000,80.99,L100,TP100,2
7549,S13057,T1008,9.99,L100,TP105,2
7550,S14080,T1023,0.0,L100,TP120,2
7551,S14081,T1016,0.4,L106,TP111,2
7552,S14082,T1084,29.83,L100,TP100,2
7553,S14083,T1003,13.8,L100,TP100,2
7554,S13956,T1000,55.11,L100,TP100,0
7555,S13956,T1000,55.15,L100,TP100,0
7556,S14052,T1000,188.61,L100,TP100,0
7557,S14084,T1002,220.0,L100,TP102,2
7558,S13257,T1000,59.71,L100,TP100,2
7559,S11203,T1008,40.0,L100,TP105,2
7560,S13515,T1008,59.98,L100,TP105,2
7561,S11166,T1008,19.99,L100,TP105,2
7562,S13057,T1008,59.92,L100,TP105,2
7563,S11203,T1008,10.0,L100,TP105,2
7564,S13995,T1037,1070.0,L100,TP126,2
7565,S12413,T1003,58.86,L100,TP100,0
7566,S14085,T1000,50.01,L100,TP100,2
7567,S14086,T1000,6.95,L100,TP100,2
7568,S14087,T1037,1079.0,L100,TP126,2
7569,S14087,T1037,3.0,L100,TP126,2
7570,S11203,T1008,90.0,L100,TP105,2
7571,S14088,T1015,0.0,L100,TP110,2
7572,S14089,T1037,1072.0,L100,TP126,2
7573,S10082,T1008,19.91,L100,TP105,2
7574,S14090,T1023,8.0,L100,TP120,2
7575,S10082,T1008,9.95,L100,TP105,2
7576,S11166,T1008,19.97,L100,TP105,2
7577,S10082,T1008,9.94,L100,TP105,2
7578,S14091,T1037,7.0,L100,TP126,2
7579,S14092,T1000,41.69,L100,TP100,2
7580,S14093,T1000,113.16,L100,TP100,0
7581,S14093,T1000,113.16,L100,TP100,0
7582,S14094,T1000,17.88,L100,TP100,2
7583,S11166,T1008,19.92,L100,TP105,2
7584,S14095,T1041,178.0,L100,TP102,2
7585,S13162,T1003,16.8,L100,TP100,2
7586,S13515,T1008,59.99,L100,TP105,2
7587,S11203,T1008,70.0,L100,TP105,2
7588,S13999,T1000,47.46,L100,TP100,2
7589,S14096,T1315,69.6,L186,TP121,2
7590,S11203,T1008,10.0,L100,TP105,2
7591,S14097,T1008,20.0,L100,TP105,2
7592,S14098,T1003,51.78,L100,TP100,2
7593,S14099,T1037,7.0,L100,TP126,2
7594,S11203,T1008,20.0,L100,TP105,2
7595,S14100,T1003,31.2,L100,TP100,2
7596,S14101,T1003,66.98,L100,TP100,2
7597,S14102,T1000,34.2,L100,TP100,2
7598,S11166,T1008,19.92,L100,TP105,2
7599,S10039,T1008,9.92,L100,TP105,2
7600,S11166,T1008,19.98,L100,TP105,2
7601,S14103,T1000,25.84,L100,TP100,2
7602,S11203,T1008,50.0,L100,TP105,2
7603,S11166,T1008,19.93,L100,TP105,2
7604,S14097,T1008,80.0,L100,TP105,2
7605,S14104,T1037,8.0,L100,TP126,2
7606,S14105,T1000,15.09,L100,TP100,2
7607,S11166,T1008,19.98,L100,TP105,2
7608,S11166,T1008,19.97,L100,TP105,2
7609,S13865,T1000,53.46,L100,TP100,2
7610,S14106,T1313,120.0,L185,TP172,1
7611,S14106,T1313,110.8,L185,TP172,0
7612,S14097,T1008,50.0,L100,TP105,2
7613,S14107,T1080,340.41,L110,TP100,2
7614,S10867,T1008,9.97,L100,TP105,2
7615,S11203,T1008,30.0,L100,TP105,2
7616,S11166,T1008,19.99,L100,TP105,2
7617,S14106,T1313,125.09,L185,TP172,0
7618,S11203,T1008,70.0,L100,TP105,2
7619,S11203,T1008,50.0,L100,TP105,2
7620,S13057,T1008,59.96,L100,TP105,2
7621,S13057,T1008,59.92,L100,TP105,2
7622,S10039,T1008,9.93,L100,TP105,2
7623,S14108,T1015,61.0,L100,TP110,2
7624,S11402,T1003,58.84,L100,TP100,0
7625,S11166,T1008,19.93,L100,TP105,2
7626,S14097,T1008,90.0,L100,TP105,2
7627,S14109,T1008,59.95,L100,TP105,2
7628,S11675,T1008,59.92,L100,TP105,2
7629,S13057,T1008,59.91,L100,TP105,2
7630,S14110,T1003,80.17,L100,TP100,2
7631,S14111,T1136,350000.0,L106,TP111,2
7632,S14112,T1008,5.95,L100,TP105,2
7633,S14113,T1000,85.68,L100,TP100,2
7634,S14114,T1107,530.3,L110,TP126,2
7635,S11203,T1008,60.0,L100,TP105,2
7636,S11203,T1008,80.0,L100,TP105,2
7637,S14115,T1000,5.93,L100,TP100,2
7638,S14112,T1008,5.95,L100,TP105,2
7639,S14116,T1000,51.88,L100,TP100,2
7640,S13057,T1008,59.94,L100,TP105,2
7641,S11203,T1008,40.0,L100,TP105,2
7642,S14117,T1023,6.0,L100,TP120,2
7643,S14109,T1008,59.97,L100,TP105,2
7644,S10332,T1003,63.12,L100,TP100,2
7645,S10332,T1003,263.04,L100,TP100,2
7646,S14112,T1008,5.96,L100,TP105,2
7647,S14118,T1000,72.29,L100,TP100,2
7648,S12228,T1000,15.07,L100,TP100,2
7649,S14119,T1084,35.5,L100,TP100,2
7650,S12636,T1000,5.53,L100,TP100,2
7651,S14120,T1000,78.94,L100,TP100,2
7652,S11203,T1008,0.0,L100,TP105,2
7653,S11203,T1008,80.0,L100,TP105,2
7654,S14097,T1008,0.0,L100,TP105,2
7655,S14097,T1008,10.0,L100,TP105,2
7656,S10084,T1008,9.96,L100,TP105,2
7657,S14121,T1000,12.53,L100,TP100,2
7658,S14122,T1037,0.0,L100,TP126,2
7659,S14123,T1003,55.1,L100,TP100,2
7660,S14097,T1008,5.97,L100,TP105,2
7661,S11402,T1003,58.84,L100,TP100,0
7662,S10332,T1000,191.14,L100,TP100,2
7663,S14112,T1008,5.97,L100,TP105,2
7664,S14124,T1000,41.3,L100,TP100,2
7665,S13491,T1000,12.05,L100,TP100,2
7666,S14125,T1000,76.5,L100,TP100,2
7667,S14126,T1023,5.0,L100,TP120,2
7668,S14127,T1003,76.41,L100,TP100,2
7669,S14128,T1023,2.0,L100,TP120,2
7670,S13057,T1008,5.93,L100,TP105,2
7671,S10082,T1008,9.92,L100,TP105,2
7672,S11166,T1008,59.92,L100,TP105,2
7673,S12656,T1037,9.0,L100,TP126,2
7674,S14129,T1074,3.0,L110,TP137,2
7675,S14130,T1107,80.0,L110,TP126,2
7676,S11166,T1008,5.94,L100,TP105,2
7677,S14131,T1000,20.06,L100,TP100,0
7678,S11166,T1008,59.98,L100,TP105,2
7679,S14097,T1008,5.97,L100,TP105,2
7680,S11166,T1008,59.93,L100,TP105,2
7681,S14132,T1008,19.72,L100,TP105,2
7682,S10040,T1000,18.04,L100,TP100,2
7683,S11675,T1008,59.92,L100,TP105,2
7684,S14133,T1008,5.9,L100,TP105,2
7685,S11166,T1008,59.93,L100,TP105,2
7686,S14132,T1008,19.71,L100,TP105,2
7687,S14132,T1008,19.73,L100,TP105,2
7688,S14132,T1008,5.96,L100,TP105,2
7689,S14134,T1083,1350.0,L106,TP110,2
7690,S14135,T1015,150.8,L100,TP110,2
7691,S14135,T1015,150.8,L100,TP110,2
7692,S13975,T1003,54.91,L100,TP100,2
7693,S11675,T1008,59.93,L100,TP105,2
7694,S11166,T1008,5.92,L100,TP105,2
7695,S14136,T1015,0.0,L100,TP110,2
7696,S14137,T1004,2.0,L102,TP116,2
7697,S14138,T1004,6.7,L102,TP196,2
7698,S14136,T1015,138.77,L100,TP110,2
7699,S14139,T1004,2.0,L102,TP116,2
7700,S10040,T1000,31.96,L100,TP100,2
7701,S11166,T1008,59.93,L100,TP105,2
7702,S11166,T1008,59.95,L100,TP105,2
7703,S14140,T1004,9.0,L102,TP116,2
7704,S14141,T1000,274.32,L100,TP100,2
7705,S14142,T1003,26.69,L100,TP100,2
7706,S14143,T1000,78.28,L100,TP100,2
7707,S14144,T1016,30000.0,L106,TP111,2
7708,S14145,T1000,34.02,L100,TP100,2
7709,S14146,T1056,748.96,L102,TP123,2
7710,S11166,T1008,59.97,L100,TP105,2
7711,S11166,T1008,5.99,L100,TP105,2
7712,S14147,T1066,145.89,L110,TP116,2
7713,S14148,T1003,54.91,L100,TP100,2
7714,S11166,T1008,59.9,L100,TP105,2
7715,S14132,T1008,5.96,L100,TP105,2
7716,S14149,T1004,7.0,L102,TP116,2
7717,S11166,T1008,59.9,L100,TP105,2
7718,S14150,T1000,51.11,L100,TP100,2
7719,S14151,T1110,167.17,L110,TP126,2
7720,S14055,T1212,52.8,L110,TP110,2
7721,S14152,T1003,85.64,L100,TP100,2
7722,S14153,T1066,42.0,L110,TP116,2
7723,S14154,T1056,888.28,L102,TP123,0
7724,S14146,T1056,888.27,L102,TP123,2
7725,S14154,T1056,534.05,L102,TP123,0
7726,S10122,T1000,12.89,L100,TP100,2
7727,S14155,T1212,62.0,L110,TP110,2
7728,S14156,T1003,58.84,L100,TP100,0
7729,S14156,T1003,58.87,L100,TP100,1
7730,S10039,T1008,9.99,L100,TP105,2
7731,S14157,T1023,5.0,L100,TP120,2
7732,S14158,T1023,2.0,L100,TP120,0
7733,S10039,T1008,9.93,L100,TP105,2
7734,S14158,T1023,5.0,L100,TP120,0
7735,S14159,T1003,102.43,L100,TP100,2
7736,S14158,T1023,8.52,L100,TP120,0
7737,S14158,T1023,8.51,L100,TP120,1
7738,S14158,T1023,8.58,L100,TP120,1
7739,S14158,T1023,8.59,L100,TP120,0
7740,S14158,T1023,2.0,L100,TP120,1
7741,S14158,T1023,7.0,L100,TP120,0
7742,S14154,T1004,0.0,L102,TP116,0
7743,S14158,T1023,2.25,L100,TP120,1
7744,S14158,T1023,2.29,L100,TP120,0
7745,S14160,T1083,1531.5,L106,TP110,2
7746,S14161,T1000,105.85,L100,TP100,2
7747,S14162,T1004,21.48,L102,TP105,2
7748,S14055,T1212,49.82,L110,TP110,2
7749,S14163,T1157,8.0,L110,TP158,2
7750,S14154,T1056,353.01,L102,TP123,0
7751,S14154,T1056,353.01,L102,TP123,0
7752,S14164,T1023,8.0,L100,TP120,0
7753,S14164,T1023,15.84,L100,TP120,1
7754,S14164,T1023,15.87,L100,TP120,0
7755,S14165,T1171,9.0,L106,TP100,2
7756,S14166,T1131,4.0,L102,TP128,2
7757,S14164,T1023,15.9,L100,TP120,0
7758,S14164,T1023,15.94,L100,TP120,1
7759,S14167,T1042,22.83,L135,TP112,2
7760,S14164,T1023,14.7,L100,TP120,1
7761,S14164,T1023,14.9,L100,TP120,0
7762,S14168,T1023,7.0,L100,TP120,0
7763,S14168,T1023,8.52,L100,TP120,0
7764,S14168,T1023,8.51,L100,TP120,1
7765,S14169,T1316,48.0,L110,TP196,2
7766,S14168,T1023,8.58,L100,TP120,1
7767,S14168,T1023,8.52,L100,TP120,0
7768,S14170,T1022,3.0,L102,TP118,2
7769,S14168,T1023,2.0,L100,TP120,1
7770,S14168,T1023,6.0,L100,TP120,0
7771,S14168,T1023,1.59,L100,TP120,0
7772,S14168,T1023,1.59,L100,TP120,1
7773,S14171,T1056,80.15,L102,TP123,1
7774,S14172,T1037,1072.0,L100,TP126,2
7775,S14173,T1053,12.8,L106,TP125,2
7776,S14174,T1139,13.0,L106,TP144,2
7777,S14175,T1033,297.0,L106,TP124,2
7778,S14176,T1083,723.0,L106,TP110,2
7779,S14132,T1008,5.9,L100,TP105,2
7780,S14177,T1023,6.0,L100,TP120,0
7781,S14177,T1023,8.52,L100,TP120,1
7782,S14177,T1023,8.56,L100,TP120,0
7783,S14178,T1090,3056.35,L106,TP144,2
7784,S14177,T1023,8.55,L100,TP120,0
7785,S14177,T1023,8.59,L100,TP120,1
7786,S14179,T1317,27.0,L106,TP144,1
7787,S14177,T1023,0.0,L100,TP120,1
7788,S14177,T1023,2.0,L100,TP120,0
7789,S14180,T1090,1244.37,L106,TP144,2
7790,S14181,T1317,28.0,L106,TP144,1
7791,S14177,T1023,1.51,L100,TP120,0
7792,S14154,T1004,8.0,L102,TP116,0
7793,S14177,T1023,1.56,L100,TP120,0
7794,S14182,T1317,1457.0,L106,TP144,2
7795,S14183,T1015,3.0,L100,TP110,2
7796,S14184,T1090,458.01,L106,TP144,2
7797,S14185,T1066,114.22,L110,TP116,2
7798,S14186,T1013,40.0,L102,TP108,2
7799,S11166,T1008,5.9,L100,TP105,2
7800,S11166,T1008,5.94,L100,TP105,2
7801,S11166,T1008,5.98,L100,TP105,2
7802,S11166,T1008,5.94,L100,TP105,2
7803,S14187,T1003,13.4,L100,TP100,2
7804,S14132,T1008,5.94,L100,TP105,2
7805,S13564,T1008,9.6,L100,TP105,2
7806,S14188,T1090,1013.37,L106,TP144,2
7807,S14189,T1090,129.67,L106,TP144,2
7808,S14190,T1090,673.44,L106,TP144,2
7809,S14191,T1139,2320.0,L106,TP144,2
7810,S14192,T1139,6021.02,L106,TP144,2
7811,S14193,T1139,15733.69,L106,TP144,2
7812,S14194,T1038,24.7,L102,TP125,2
7813,S14195,T1002,51.0,L100,TP102,2
7814,S14196,T1000,77.34,L100,TP100,2
7815,S14052,T1000,196.29,L100,TP100,0
7816,S14197,T1318,1799.27,L187,TP116,2
7817,S14052,T1000,196.28,L100,TP100,0
7818,S14198,T1037,600.0,L100,TP126,2
7819,S10667,T1003,44.61,L100,TP100,2
7820,S14052,T1319,2.0,L187,TP116,0
7821,S14052,T1319,5.0,L187,TP116,0
7822,S14199,T1090,411.86,L106,TP144,2
7823,S14052,T1319,1.0,L187,TP116,0
7824,S14052,T1319,7.0,L187,TP116,0
7825,S14200,T1022,2.02,L102,TP118,2
7826,S14201,T1046,85.0,L106,TP108,2
7827,S14052,T1319,4.0,L187,TP116,0
7828,S14052,T1319,9.0,L187,TP116,0
7829,S14052,T1319,7.0,L187,TP116,0
7830,S14052,T1319,1.0,L187,TP116,0
7831,S14052,T1319,8.0,L187,TP116,0
7832,S14052,T1319,4.0,L187,TP116,0
7833,S14202,T1083,3128.7,L106,TP110,2
7834,S11280,T1038,23.72,L102,TP125,2
7835,S14203,T1231,12.17,L106,TP108,2
7836,S14204,T1045,7.0,L106,TP108,2
7837,S14205,T1038,13.77,L102,TP125,2
7838,S14206,T1053,37.51,L106,TP125,2
7839,S13483,T1003,49.8,L100,TP100,0
7840,S10078,T1008,50.0,L100,TP105,2
7841,S10078,T1008,60.0,L100,TP105,2
7842,S10078,T1008,40.0,L100,TP105,2
7843,S14207,T1045,7.74,L106,TP108,2
7844,S14208,T1045,13.76,L106,TP108,2
7845,S14209,T1090,211.85,L106,TP144,2
7846,S14210,T1317,23.0,L106,TP144,1
7847,S14211,T1000,7.84,L100,TP100,2
7848,S14212,T1003,58.61,L100,TP100,2
7849,S14055,T1212,99.74,L110,TP110,2
7850,S14052,T1000,196.27,L100,TP100,0
7851,S14052,T1000,196.22,L100,TP100,0
7852,S12656,T1037,1073.0,L100,TP126,2
7853,S12656,T1037,1072.0,L100,TP126,2
7854,S14154,T1320,340.46,L109,TP132,0
7855,S14154,T1320,340.47,L109,TP132,0
7856,S14052,T1000,196.21,L100,TP100,0
7857,S14213,T1000,89.73,L100,TP100,2
7858,S13432,T1013,7.3,L102,TP108,2
7859,S14214,T1013,94.24,L102,TP108,0
7860,S14215,T1000,16.95,L100,TP100,2
7861,S14216,T1022,1.22,L102,TP118,2
7862,S14054,T1263,180.0,L102,TP197,1
7863,S14054,T1263,160.0,L102,TP197,0
7864,S14217,T1003,319.54,L100,TP100,2
7865,S14218,T1000,26.38,L100,TP100,0
7866,S14218,T1000,26.37,L100,TP100,0
7867,S14154,T1038,2.0,L102,TP125,0
7868,S14219,T1003,43.35,L100,TP100,2
7869,S14218,T1000,7.11,L100,TP100,0
7870,S14218,T1000,7.11,L100,TP100,0
7871,S14220,T1004,14.0,L102,TP116,2
7872,S14054,T1263,159.0,L102,TP197,0
7873,S14054,T1263,150.0,L102,TP197,0
7874,S10044,T1003,12.84,L100,TP100,2
7875,S14154,T1038,63.92,L102,TP125,0
7876,S14221,T1000,148.13,L100,TP100,2
7877,S14222,T1038,29.0,L102,TP125,2
7878,S10583,T1231,24.96,L106,TP108,2
7879,S14223,T1004,63.96,L102,TP133,2
7880,S12044,T1013,19.0,L102,TP108,2
7881,S14224,T1013,19.09,L102,TP108,2
7882,S13684,T1013,7.77,L102,TP108,0
7883,S13684,T1013,7.72,L102,TP108,0
7884,S14225,T1013,1.07,L102,TP108,2
7885,S14226,T1038,20.22,L102,TP125,2
7886,S13634,T1022,1.7,L102,TP118,2
7887,S12248,T1000,60.98,L100,TP100,2
7888,S14227,T1004,0.99,L102,TP158,2
7889,S11677,T1000,250.0,L100,TP100,2
7890,S14228,T1022,2.2,L102,TP118,2
7891,S13554,T1004,1567.3,L102,TP104,2
7892,S14229,T1089,402.0,L106,TP123,2
7893,S14218,T1003,43.57,L100,TP100,0
7894,S14218,T1003,43.56,L100,TP100,0
7895,S14230,T1004,30.67,L102,TP161,2
7896,S14231,T1317,27.0,L106,TP144,1
7897,S14232,T1038,17.53,L102,TP125,2
7898,S11203,T1008,90.0,L100,TP105,2
7899,S13953,T1038,1.1,L102,TP125,2
7900,S13528,T1038,8.0,L102,TP125,2
7901,S14233,T1318,2953.54,L187,TP116,2
7902,S12048,T1038,2.68,L102,TP125,2
7903,S14234,T1034,46.35,L110,TP120,2
